Model,MAE,RMSE,R2_Score
Linear Regression,6.824581613611211,9.908613558591174,0.5881365292126193
Random Forest,6.988924242424261,9.62753872395813,0.6111715436443965
Gradient Boosting,7.39749739008757,9.933335085966863,0.5860788052570796
SVR,7.492512411388243,10.420925469517277,0.5444457815030178
